"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"Codigo";"Sigla";"Nome";"DataIns";"DataAlt";"RespAlt"
66807634.00;0;0;0;0;87;"HIDROSERVICE";"Engenharia de Projetos Ltda.";11/2/2020 00:00:00;;8
66807635.00;0;0;0;0;88;"HIDROESB";"Saturnino de Brito S.A.";11/2/2020 00:00:00;;8
66807636.00;0;0;0;0;89;"EMATER";"Empresa Estadual de Assistência Tec. e Ext. Rural";11/2/2020 00:00:00;;8
66807637.00;0;0;0;0;90;"ITAIPU";"Itaipu  Binacional";11/2/2020 00:00:00;;8
66807638.00;0;0;0;0;91;"SEMA-MT";"Secretaria de Meio Ambiente do Estado do Mato Grosso";11/2/2020 00:00:00;;8
66807639.00;0;0;0;0;92;"LMRS-PB";"Laboratório de Met., Rec. Hid. e Sensoriamento Remoto da Paraíba";11/2/2020 00:00:00;;8
66807640.00;0;0;0;0;93;"SIMEPAR";"Sistema Meteorológico do Paraná";11/2/2020 00:00:00;;8
66807641.00;0;0;0;0;94;"EPAGRI-SC";"Empresa de Pesquisa Agrícola de Santa Catarina";11/2/2020 00:00:00;;8
66807642.00;0;0;0;0;95;"CELTINS";"Cia. Energia Elétrica do Estado do Tocantins";11/2/2020 00:00:00;;8
66807643.00;0;0;0;0;96;"IEMA-ES";"Instituto Estadual de Meio Ambiente e Recursos Hidricos - Espirito Santo";11/2/2020 00:00:00;;8
66807644.00;0;0;0;0;97;"EMPARN";"Empresa de Pesquisa Agropecuária do Rio Grande do Norte";11/2/2020 00:00:00;;8
66807645.00;0;0;0;0;98;"SANEPAR";"Cia de Saneamento do Paraná";11/2/2020 00:00:00;;8
66807646.00;0;0;0;0;100;"COHIDRO";"Consultoria, Estudos e Projetos";11/2/2020 00:00:00;;8
66807647.00;0;0;0;0;102;"SDM-DF";"Secretaria de Estado de Desenvolvimento Urbano e Meio Ambiente";11/2/2020 00:00:00;;8
66807648.00;0;0;0;0;101;"IGAM-MG";"Instituto Mineiro de Gestão das Águas";11/2/2020 00:00:00;;8
66807649.00;0;0;0;0;104;"CPRH-PE";"Companhia Pernambucana do Meio Ambiente";11/2/2020 00:00:00;;8
66807650.00;0;0;0;0;108;"HYDROCONSULT";"Hydroconsult - Hidrométrica Comércio e Serviços Ltda.";11/2/2020 00:00:00;;8
66807651.00;0;0;0;0;105;"SEMA-AP";"Secretaria de Meio Ambiente do Estado do Amapá";11/2/2020 00:00:00;;8
66807652.00;0;0;0;0;111;"NATURATINS";"Instituto Natureza do Tocantins";11/2/2020 00:00:00;;8
66807653.00;0;0;0;0;106;"COGERH-CE";"Companhia de Gestão dos Recursos Hídricos - Ceará";11/2/2020 00:00:00;;8
66807654.00;0;0;0;0;103;"GERASUL";"Centrais Elétricas do Sul do Brasil";11/2/2020 00:00:00;;8
66807655.00;0;0;0;0;901;"DH - URUGUAI";"Uruguai";11/2/2020 00:00:00;;8
66807656.00;0;0;0;0;112;"ENGIE";"Engie Brasil Energia S.A.";11/2/2020 00:00:00;;8
66807657.00;0;0;0;0;110;"ANEEL";"Agência Nacional de Energia Elétrica";11/2/2020 00:00:00;;8
66807658.00;0;0;0;0;109;"SNIRH-MA";"Sistema Nacional de Informações sobre Recursos Hídricos - Maranhão";11/2/2020 00:00:00;;8
66807659.00;0;0;0;0;107;"CRA";"Centro de Recursos Ambientais da Bahia";11/2/2020 00:00:00;;8
66807660.00;0;0;0;0;902;"ARGENTINA";"Argentina";11/2/2020 00:00:00;;8
66807661.00;0;0;0;0;903;"PARAGUAI";"Paraguai";11/2/2020 00:00:00;;8
66807662.00;0;0;0;0;904;"CHILE";"Chile";11/2/2020 00:00:00;;8
66807663.00;0;0;0;0;905;"BOLÍVIA";"Bolívia";11/2/2020 00:00:00;;8
66807664.00;0;0;0;0;906;"SENAMHI-PERU";"Servicio Nacional de Meteorologia e Hidrologia del Perú";11/2/2020 00:00:00;;8
66807665.00;0;0;0;0;907;"IDEAM-COLÔMBIA";"Instituto de Hidrologia, Meteorologia y Estudos Ambientales";11/2/2020 00:00:00;;8
