"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"EstadoCodigo";"Codigo";"CodigoIBGE";"Nome";"DataIns";"DataAlt";"RespAlt"
66804537.00;0;0;0;0;22;22033500;4103354;"BRAGANEY";11/2/2020 00:00:00;;8
66804538.00;0;0;0;0;22;22033800;4103370;"BRASILÂNDIA DO SUL";11/2/2020 00:00:00;;8
66804539.00;0;0;0;0;22;22034000;4103404;"CAFEARA";11/2/2020 00:00:00;;8
66804540.00;0;0;0;0;22;22034800;4103479;"CAFEZAL DO SUL";11/2/2020 00:00:00;;8
66804541.00;0;0;0;0;22;22035000;4103503;"CALIFORNIA";11/2/2020 00:00:00;;8
66804542.00;0;0;0;0;22;22037000;4103701;"CAMBÉ";11/2/2020 00:00:00;;8
66804543.00;0;0;0;0;22;22038000;4103800;"CAMBIRA";11/2/2020 00:00:00;;8
66804544.00;0;0;0;0;22;22040000;4104006;"CAMPINA GRANDE DO SUL";11/2/2020 00:00:00;;8
66804545.00;0;0;0;0;22;22040500;4104055;"CAMPO BONITO";11/2/2020 00:00:00;;8
66804546.00;0;0;0;0;22;22041000;4104105;"CAMPO DO TENENTE";11/2/2020 00:00:00;;8
66804547.00;0;0;0;0;22;22043000;4104303;"CAMPO MOURÃO";11/2/2020 00:00:00;;8
66804548.00;0;0;0;0;22;22044000;4104402;"CÂNDIDO DE ABREU";11/2/2020 00:00:00;;8
66804549.00;0;0;0;0;22;22044500;4104451;"CANTAGALO";11/2/2020 00:00:00;;8
66804550.00;0;0;0;0;22;22045000;4104501;"CAPANEMA";11/2/2020 00:00:00;;8
66804551.00;0;0;0;0;22;22047000;4104709;"CARLÓPOLIS";11/2/2020 00:00:00;;8
66804552.00;0;0;0;0;22;22048000;4104808;"CASCAVEL";11/2/2020 00:00:00;;8
66804553.00;0;0;0;0;22;22049000;4104907;"CASTRO";11/2/2020 00:00:00;;8
66804554.00;0;0;0;0;22;22051000;4105102;"CENTENÁRIO DO SUL";11/2/2020 00:00:00;;8
66804555.00;0;0;0;0;22;22052000;4105201;"CERRO AZUL";11/2/2020 00:00:00;;8
66804556.00;0;0;0;0;22;22053000;4105300;"CÉU AZUL";11/2/2020 00:00:00;;8
66804557.00;0;0;0;0;22;22055000;4105508;"CIANORTE";11/2/2020 00:00:00;;8
66804558.00;0;0;0;0;22;22056000;4105607;"CIDADE GAUCHA";11/2/2020 00:00:00;;8
66804559.00;0;0;0;0;22;22058000;4105805;"COLOMBO";11/2/2020 00:00:00;;8
66804560.00;0;0;0;0;22;22059000;4105904;"COLORADO";11/2/2020 00:00:00;;8
